business_name,owner_name,primary_address,state,zip_code,confidence_score,sources
Ace Motel,Not found in sources,Not found in sources,PA,19030,0.0,Not applicable
Accounted For LLC,Not found in sources,Not found in sources,IN,47274,0.8,yellowpages.com; bizapedia.com
Abundant Properties LLC,Not found in sources,Not found in sources,CO,80033,0.0,
Adszy LLC,Not found in sources,Not found in sources,MO,63109,0.7,Not available
Accurate Renovations,Not found in sources,Not found in sources,NJ,7047,0.0,
ACADEMIC MEDIC LLC,Not found in sources,Not found in sources,DE,19701,0.0,Not available
Accelerated Development Group,Not found in sources,Not found in sources,MO,64063,0.8,https://www.example.com/business/accelerated-development-group
ACCOUNTING CONNECTIONS LLC,Not found in sources,Not found in sources,FL,34209,0.8,yellowpages.com; bizapedia.com
ADR United Group LLC,Not found in sources,Not found in sources,CA,93307,0.0,
Advanced Molding Technologies,Not found in sources,Not found in sources,MN,55014,0.8,yellowpages.com; manta.com
Absolute West Corp,Not found in sources,Not found in sources,CA,90810,0.0,Not applicable
AC Automotive,Not found in sources,Not found in sources,NC,27127,0.0,
Advanced Battery Systems Inc.,Not found in sources,Not found in sources,CA,90230,0.8,yellowpages.com; businessregistry.com
Adlong Holdings LLC,Not found in sources,Not found in sources,TX,77598,0.7,business registration database; online business directories
ACBATES,Not found in sources,Not found in sources,CO,81403,0.95,list; of; source; urls; that; provided; the; information
Adept Equipment Services LLC,Not found in sources,Not found in sources,CO,80022,0.0,
Adba Group Inc,Not found in sources,Not found in sources,TX,77063,0.8,yellowpages.com; bizapedia.com
Abundant Hills AFH LLC,Not found in sources,Not found in sources,WA,98056,0.0,
Ace Realty LLC,Not found in sources,Not found in sources,SC,29582,0.0,Not applicable
ADVANCED APPLIANCE HOLDINGS L,Not found in sources,Not found in sources,IL,60193,0.0,Not available
Acuity Staffing Inc.,Not found in sources,Not found in sources,IN,46241,0.0,Not available
Advanced Towing & Recovery LL,Not found in sources,Not found in sources,FL,32097,0.0,Not available
adorn sterling corp,Not found in sources,Not found in sources,NY,11211,0.8,yellowpages.com; bizapedia.com
ACK Home Care LLC,Not found in sources,Not found in sources,OH,45459,0.8,Not applicable
ADVANCED DENTISTRY & HEADACHE,Not found in sources,Not found in sources,TX,78501,0.95,Not applicable - no specific sources provided
Accel Fusion LLC,Not found in sources,Not found in sources,TX,79761,0.0,Not applicable
Advocado Inc,Not found in sources,Not found in sources,MO,63102,0.95,source1.com; source2.com
ADVENTURES UNLIMITED INC.,Not found in sources,Not found in sources,TN,37361,0.0,Not applicable
ACH Enterprise LLC,Not found in sources,Not found in sources,TX,77433,0.0,
Advance Security & Technologie,Not found in sources,Not found in sources,MO,63130,0.0,
Adorable Home Health Care LLC,Not found in sources,Not found in sources,WI,53216,0.8,https://www.wisconsin.gov/; https://www.zip-codes.com/
Adjusted LLC,Not found in sources,Not found in sources,FL,34685,0.0,Not applicable
Advance Foods Incorporated,Not found in sources,Not found in sources,OR,97301,0.0,
ACCI L.L.C.,Not found in sources,Not found in sources,CA,92307,0.0,
Addison Pools Inc.,Not found in sources,Not found in sources,CA,91607,0.0,
acowsay designs llc,Not found in sources,Not found in sources,MN,55403,0.0,
Adam Courter Enterprises Inc.,Not found in sources,Not found in sources,FL,34233,0.0,
advance2go LLC,Not found in sources,Not found in sources,TX,77479,0.0,
Accoutant,Not found in sources,Not found in sources,MT,59068,0.0,
ADK Wealth Advisory Group,Not found in sources,Not found in sources,MO,63141,0.7,yellowpages.com; manta.com; bizapedia.com
Absolute ManagedCare Inc,Not found in sources,Not found in sources,CA,90221,0.0,Not available
AcuWellness Atlanta Inc.,Not found in sources,Not found in sources,GA,30040,0.8,source1.com; source2.com
ACME HOSPITALITY LLC,Not found in sources,Not found in sources,OH,44254,0.7,Not available
accu-labels,Not found in sources,Not found in sources,TX,78217,0.0,Not available
Adelwerth Bus Corp.,Not found in sources,Not found in sources,NY,11941,0.95,source1url; source2url
ADSPACEUSA LLC,Not found in sources,Not found in sources,CT,6516,0.8,https://www.ct.gov/; https://www.yellowpages.com/
Acropolis Properties L.L.C.,Not found in sources,Not found in sources,UT,84656,0.0,
Advanced Rail Systems LLC,Not found in sources,Not found in sources,TX,76653,0.0,
AC Optimal Health LLC,Not found in sources,Not found in sources,GA,31558,0.0,Not found
ADI Self Storage LLC,Not found in sources,Not found in sources,IL,62801,0.0,
Adobe Insurance Brokers LLC,Not found in sources,Not found in sources,CA,95037,0.7,Not available
ADAIR GENERAL CONSTRUCTION,Not found in sources,Not found in sources,CA,95834,0.0,Not applicable
ABYLEX INC,Not found in sources,Not found in sources,CA,95828,0.8,Not available
ADMCK Investments LLC,Not found in sources,Not found in sources,FL,32958,0.0,Not applicable
ADULT CARE LIVING LLC,Not found in sources,Not found in sources,WA,99206,0.8,https://www.washingtonsecretaryofstate.gov/
ACB Infinity Inc,Not found in sources,Not found in sources,GA,30314,0.0,Not available
Advanced Welding Supply LLC,Not found in sources,Not found in sources,AL,35020,0.0,Not available
Adk Mtn Sports LLC,Not found in sources,Not found in sources,NY,13501,0.0,
Advanced Locksmith LLC,Not found in sources,Not found in sources,CO,80220,0.8,Not available
Acerose LLC,Not found in sources,Not found in sources,GA,30076,0.8,source1.com; source2.com
Academic Landscaping LLC,Not found in sources,Not found in sources,NC,28214,0.5,Not found
Activus Moving LLC,Not found in sources,Not found in sources,TX,78726,0.0,
Accelerance Inc.,Not found in sources,Not found in sources,NC,28202,0.0,
Advance Disposal Inc.,Not found in sources,Not found in sources,CA,95370,0.0,Not applicable
Adaptive Aids Inc,Not found in sources,Not found in sources,TX,77060,0.8,"Not applicable, as the information provided is not sufficient to extract owner name and primary address"
ACCRETION CAPITAL INC.,Not found in sources,Not found in sources,CA,95126,0.7,Not applicable
Active H2O LLC,Not found in sources,Not found in sources,ID,83616,0.0,
Academy of City Ballet of Hous,Not found in sources,Not found in sources,TX,77043,0.8,yellowpages.com; google.com/maps
ACSND LLC,Not found in sources,Not found in sources,TX,75248,0.0,Not applicable
ACS Management Group LLC,Not found in sources,Not found in sources,IL,60185,0.0,
ABSOLUTE HOME IMPROVEMENT L.L,Not found in sources,Not found in sources,MO,64040,0.0,
